processo_25,id
608,0045432-81.2024.8.16.0001
609,0146703-05.2025.8.16.0000
610,0150739-90.2025.8.16.0000
611,0078258-32.2025.8.16.0000
612,0151746-20.2025.8.16.0000
613,0000862-27.1993.8.16.0185
614,0070884-93.2020.8.16.0014
615,0150288-65.2025.8.16.0000
616,0151557-42.2025.8.16.0000
617,0150335-39.2025.8.16.0000
618,0118717-76.2025.8.16.0000
619,0124829-61.2025.8.16.0000
620,0150608-18.2025.8.16.0000
621,0139497-37.2025.8.16.0000
622,0016029-79.2025.8.16.0018
623,0016027-12.2025.8.16.0018
624,0002859-78.2025.8.16.0070
625,0007716-52.2025.8.16.9000
626,0081702-31.2025.8.16.0014
627,0007706-08.2025.8.16.9000
628,0007045-19.2024.8.16.0123
629,0004041-77.2024.8.16.0024
630,0017677-85.2025.8.16.0021
631,0006782-65.2025.8.16.0021
632,0019373-59.2025.8.16.0021
633,0051105-92.2024.8.16.0021
634,0016489-57.2025.8.16.0021
635,0007423-82.2025.8.16.9000
636,0007562-34.2025.8.16.9000
637,0002833-62.2025.8.16.9000
638,0003385-27.2025.8.16.9000
639,0010343-48.2021.8.16.0018
640,0005538-06.2025.8.16.0182
641,0022027-04.2020.8.16.0018
642,0024858-42.2025.8.16.0182
643,0002843-57.2024.8.16.0039
644,0004341-77.2024.8.16.0173
645,0001156-95.2021.8.16.0121
646,0007788-12.2024.8.16.0064
647,0021030-38.2025.8.16.0182
648,0041778-28.2024.8.16.0182
649,0006622-69.2025.8.16.9000
650,0006680-72.2025.8.16.9000
651,0046351-12.2024.8.16.0182
652,0007719-07.2025.8.16.9000
653,0014857-42.2010.8.16.0014
654,0002837-02.2025.8.16.9000
655,0127283-14.2025.8.16.0000
656,0130649-61.2025.8.16.0000
657,0020360-73.2022.8.16.0030
658,0063429-46.2025.8.16.0000
659,0150710-40.2025.8.16.0000
660,0111346-61.2025.8.16.0000
661,0003969-91.2025.8.16.0174
662,0012473-46.2025.8.16.0058
663,0017816-39.2021.8.16.0001
664,0150381-28.2025.8.16.0000
665,0129014-45.2025.8.16.0000
666,0008839-22.2025.8.16.0000
667,0007365-76.2025.8.16.0174
668,0006944-86.2025.8.16.0174
669,0025596-34.2025.8.16.0019
670,0004252-17.2025.8.16.0174
671,0143246-62.2025.8.16.0000
672,0081799-49.2020.8.16.0000
673,0058574-10.2014.8.16.0000
674,0102587-11.2025.8.16.0000
675,0013138-30.2025.8.16.0004
676,0013137-45.2025.8.16.0004
677,0021609-93.2025.8.16.0017
678,0014435-45.2025.8.16.0013
679,0010612-97.2025.8.16.0131
680,0009938-90.2025.8.16.0173
681,0072043-95.2025.8.16.0014
682,0008560-61.2025.8.16.0024
683,0005284-16.2025.8.16.0123
684,0010768-85.2025.8.16.0131
685,0008561-46.2025.8.16.0024
686,0040933-57.2025.8.16.0021
687,0040401-83.2025.8.16.0021
688,0040402-68.2025.8.16.0021
689,0101744-46.2025.8.16.0000
690,0150515-55.2025.8.16.0000
691,0132515-07.2025.8.16.0000
692,0137511-48.2025.8.16.0000
693,0119980-46.2025.8.16.0000
694,0150407-26.2025.8.16.0000
695,0092213-33.2025.8.16.0000
696,0110594-89.2025.8.16.0000
697,0017424-24.2025.8.16.0013
698,0075294-66.2025.8.16.0000
699,0012672-46.2025.8.16.0130
700,0017425-09.2025.8.16.0013
701,0141398-40.2025.8.16.0000
702,0148691-61.2025.8.16.0000
703,0100249-64.2025.8.16.0000
704,0004663-87.2025.8.16.0165
705,0149940-47.2025.8.16.0000
706,0002704-71.2017.8.16.0162
707,0099429-45.2025.8.16.0000
708,0004626-60.2025.8.16.0165
709,0028019-24.2025.8.16.0000
710,0139532-94.2025.8.16.0000
711,0110688-37.2025.8.16.0000
712,0150813-47.2025.8.16.0000
713,0000649-82.2025.8.16.0190
714,0062846-61.2025.8.16.0000
715,0059416-04.2025.8.16.0000
716,0087194-46.2025.8.16.0000
717,0144742-29.2025.8.16.0000
718,0131949-58.2025.8.16.0000
719,0000572-15.2024.8.16.0156
720,0133612-42.2025.8.16.0000
721,0127281-44.2025.8.16.0000
722,0125635-96.2025.8.16.0000
723,0008767-52.2022.8.16.0190
724,0150459-22.2025.8.16.0000
725,0000443-42.2018.8.16.0181
726,0004983-13.2025.8.16.0174
727,0004990-05.2025.8.16.0174
728,0125158-73.2025.8.16.0000
729,0010807-07.2022.8.16.0190
730,0011187-30.2022.8.16.0190
731,0000335-69.2024.8.16.0062
732,0007338-50.2022.8.16.0190
733,0008565-79.2017.8.16.0116
734,0105827-08.2025.8.16.0000
735,0010863-40.2022.8.16.0190
736,0003919-65.2025.8.16.0174
737,0000185-42.2001.8.16.0047
738,0124809-70.2025.8.16.0000
739,0017874-68.2025.8.16.0044
740,0008128-34.2022.8.16.0190
741,0009084-84.2021.8.16.0190
742,0003134-57.2016.8.16.0162
743,0114601-27.2025.8.16.0000
744,0116576-84.2025.8.16.0000
745,0003748-43.2025.8.16.0034
746,0028554-57.2025.8.16.0030
747,0147954-58.2025.8.16.0000
748,0074292-61.2025.8.16.0000
749,0018992-88.2010.8.16.0017
750,0012866-48.2025.8.16.0194
751,0007240-83.2013.8.16.0189
752,0131547-74.2025.8.16.0000
753,0003647-33.2019.8.16.0190
754,0055625-27.2025.8.16.0000
